Мова,length,alphabet,H0,H1,H_bigram,Hmax,redundancy
Українська,100000,33,4.4949715700712005,3.5839847118231347,8.078956281894335,5.044394119358453,0.10891745099352557
Англійська,100000,26,4.1286962910915745,3.4059287756754957,7.53462506676707,4.700439718141092,0.12163615774986003
Китайська,100000,384,8.258457623089951,4.162478960182238,12.420936583272189,8.584962500721156,0.038032184485812026
